read_date,bl_meter1,bl_ahd1,bl_meter2,bl_ahd2,meter_no3,sl_read1,meter_no4,rf_read1
2005-11-17,GW967137.1.1,253.231,GW967137.2.2,251.581,CF419051,0.271,54151,0.0
2005-11-18,GW967137.1.1,253.236,GW967137.2.2,251.599,CF419051,0.271,54151,0.0
2005-11-19,GW967137.1.1,253.24,GW967137.2.2,251.608,CF419051,0.269,54151,0.0
2005-11-20,GW967137.1.1,253.246,GW967137.2.2,251.6,CF419051,0.268,54151,0.0
2005-11-21,GW967137.1.1,253.247,GW967137.2.2,251.595,CF419051,0.27,54151,0.0
2005-11-22,GW967137.1.1,253.251,GW967137.2.2,251.591,CF419051,0.28,54151,28.8
2005-11-23,GW967137.1.1,253.249,GW967137.2.2,251.59,CF419051,0.274,54151,4.8
2005-11-24,GW967137.1.1,253.248,GW967137.2.2,251.593,CF419051,0.272,54151,22.4
2005-11-25,GW967137.1.1,253.252,GW967137.2.2,251.615,CF419051,0.275,54151,24.8
2005-11-26,GW967137.1.1,253.256,GW967137.2.2,251.622,CF419051,0.287,54151,9.4
2005-11-27,GW967137.1.1,253.275,GW967137.2.2,251.651,CF419051,0.295,54151,9.4
2005-11-28,GW967137.1.1,253.275,GW967137.2.2,251.631,CF419051,0.323,54151,3.6
2005-11-29,GW967137.1.1,253.271,GW967137.2.2,251.63,CF419051,0.3,54151,0.2
2005-11-30,GW967137.1.1,253.269,GW967137.2.2,251.625,CF419051,0.289,54151,0.0
2005-12-02,GW967137.1.1,253.271,GW967137.2.2,251.641,CF419051,0.295,54151,19.8
2005-12-03,GW967137.1.1,253.277,GW967137.2.2,251.644,CF419051,0.303,54151,21.4
2005-12-04,GW967137.1.1,253.278,GW967137.2.2,251.639,CF419051,0.307,54151,0.0
2005-12-05,GW967137.1.1,253.275,GW967137.2.2,251.636,CF419051,0.303,54151,0.0
2005-12-06,GW967137.1.1,253.273,GW967137.2.2,251.638,CF419051,0.304,54151,0.0
2005-12-07,GW967137.1.1,253.277,GW967137.2.2,251.625,CF419051,0.31,54151,0.0
2005-12-08,GW967137.1.1,253.272,GW967137.2.2,251.616,CF419051,0.304,54151,7.2
2005-12-09,GW967137.1.1,253.264,GW967137.2.2,251.612,CF419051,0.309,54151,3.6
2005-12-10,GW967137.1.1,253.26,GW967137.2.2,251.606,CF419051,0.307,54151,0.0
2005-12-11,GW967137.1.1,253.261,GW967137.2.2,251.602,CF419051,0.307,54151,0.0
2005-12-12,GW967137.1.1,253.256,GW967137.2.2,251.615,CF419051,0.313,54151,0.0
2005-12-13,GW967137.1.1,253.264,GW967137.2.2,251.618,CF419051,0.314,54151,3.6
2005-12-14,GW967137.1.1,253.249,GW967137.2.2,251.607,CF419051,0.311,54151,0.0
