read_date,sl_read1,bl_meter1,bl_ahd1,mean_temp1,bl_meter2,bl_ahd2,mean_temp2,bl_meter3,bl_ahd3,mean_temp3,bl_meter4,bl_ahd4,mean_temp4,sl_meter,rf_meter,rf_read1
2005-12-02 00:00:00,0.295,GW967137.1.1,253.271,19.8,GW967137.2.2,251.641,21.4,GW967138.1.1,283.066,18.8,GW967138.2.2,0,0,CF419051,54151,19.8
2005-12-03 00:00:00,0.303,GW967137.1.1,253.277,19.825,GW967137.2.2,251.644,21.35,GW967138.1.1,283.071,18.8,GW967138.2.2,0,0,CF419051,54151,21.4
2005-12-04 00:00:00,0.307,GW967137.1.1,253.278,19.8,GW967137.2.2,251.639,21.375,GW967138.1.1,283.068,18.8,GW967138.2.2,0,0,CF419051,54151,0
2005-12-05 00:00:00,0.303,GW967137.1.1,253.275,19.824,GW967137.2.2,251.636,21.375,GW967138.1.1,283.076,18.8,GW967138.2.2,0,0,CF419051,54151,0
2005-12-06 00:00:00,0.304,GW967137.1.1,253.273,19.801,GW967137.2.2,251.638,21.4,GW967138.1.1,283.082,18.8,GW967138.2.2,0,0,CF419051,54151,0
2005-12-07 00:00:00,0.31,GW967137.1.1,253.277,19.8,GW967137.2.2,251.625,21.4,GW967138.1.1,283.089,18.8,GW967138.2.2,0,0,CF419051,54151,0
2005-12-08 00:00:00,0.304,GW967137.1.1,253.272,19.807,GW967137.2.2,251.616,21.4,GW967138.1.1,283.101,18.8,GW967138.2.2,0,0,CF419051,54151,7.2
2005-12-09 00:00:00,0.309,GW967137.1.1,253.264,19.843,GW967137.2.2,251.612,21.4,GW967138.1.1,283.104,18.8,GW967138.2.2,0,0,CF419051,54151,3.6
2005-12-10 00:00:00,0.307,GW967137.1.1,253.26,19.807,GW967137.2.2,251.606,21.4,GW967138.1.1,283.109,18.8,GW967138.2.2,0,0,CF419051,54151,0
2005-12-11 00:00:00,0.307,GW967137.1.1,253.261,19.867,GW967137.2.2,251.602,21.4,GW967138.1.1,283.113,18.829,GW967138.2.2,0,0,CF419051,54151,0
2005-12-12 00:00:00,0.313,GW967137.1.1,253.256,19.858,GW967137.2.2,251.615,21.4,GW967138.1.1,283.12,18.875,GW967138.2.2,0,0,CF419051,54151,0
2005-12-13 00:00:00,0.314,GW967137.1.1,253.264,19.825,GW967137.2.2,251.618,21.4,GW967138.1.1,283.135,18.9,GW967138.2.2,0,0,CF419051,54151,3.6
2005-12-14 00:00:00,0.311,GW967137.1.1,253.249,19.917,GW967137.2.2,251.607,21.375,GW967138.1.1,283.133,18.9,GW967138.2.2,0,0,CF419051,54151,0
2005-12-15 00:00:00,0.309,GW967137.1.1,253.249,19.858,GW967137.2.2,251.6,21.4,GW967138.1.1,283.132,18.9,GW967138.2.2,0,0,CF419051,54151,0
2005-12-16 00:00:00,0.31,GW967137.1.1,253.265,19.843,GW967137.2.2,251.641,21.4,GW967138.1.1,283.169,18.9,GW967138.2.2,0,0,CF419051,54151,42.2
2005-12-17 00:00:00,0.475,GW967137.1.1,253.296,19.8,GW967137.2.2,251.68,21.4,GW967138.1.1,283.198,18.9,GW967138.2.2,0,0,CF419051,54151,14
2005-12-18 00:00:00,0.355,GW967137.1.1,253.263,19.8,GW967137.2.2,251.651,21.4,GW967138.1.1,283.198,18.929,GW967138.2.2,0,0,CF419051,54151,0
2005-12-19 00:00:00,0.326,GW967137.1.1,253.233,19.8,GW967137.2.2,251.643,21.35,GW967138.1.1,283.193,18.976,GW967138.2.2,0,0,CF419051,54151,0
2005-12-20 00:00:00,0.315,GW967137.1.1,253.209,19.8,GW967137.2.2,251.631,21.4,GW967138.1.1,283.186,18.999,GW967138.2.2,0,0,CF419051,54151,0
2005-12-21 00:00:00,0.307,GW967137.1.1,253.194,19.8,GW967137.2.2,251.63,21.4,GW967138.1.1,283.184,19,GW967138.2.2,0,0,CF419051,54151,0
2005-12-22 00:00:00,0.302,GW967137.1.1,253.18,19.8,GW967137.2.2,251.634,21.375,GW967138.1.1,283.175,19,GW967138.2.2,0,0,CF419051,54151,0
2005-12-23 00:00:00,0.308,GW967137.1.1,253.172,19.8,GW967137.2.2,251.632,21.4,GW967138.1.1,283.179,19.006,GW967138.2.2,0,0,CF419051,54151,0
2005-12-24 00:00:00,0.311,GW967137.1.1,253.168,19.8,GW967137.2.2,251.636,21.4,GW967138.1.1,283.178,19.074,GW967138.2.2,0,0,CF419051,54151,0
2005-12-25 00:00:00,0.313,GW967137.1.1,253.156,19.8,GW967137.2.2,251.627,21.35,GW967138.1.1,283.168,19.1,GW967138.2.2,0,0,CF419051,54151,0
2005-12-26 00:00:00,0.314,GW967137.1.1,253.143,19.775,GW967137.2.2,251.623,21.4,GW967138.1.1,283.152,19.1,GW967138.2.2,0,0,CF419051,54151,0
2005-12-27 00:00:00,0.313,GW967137.1.1,253.14,19.768,GW967137.2.2,251.617,21.35,GW967138.1.1,283.153,19.1,GW967138.2.2,0,0,CF419051,54151,0
