read_date,sl_read1,bl_meter1,bl_ahd1,mean_temp1,bl_meter2,bl_ahd2,mean_temp2,bl_meter3,bl_ahd3,mean_temp3,bl_meter4,bl_ahd4,mean_temp4,sl_meter,rf_meter,rf_read1,rf_MA,rf_bin
2005-12-13 00:00:00,0.314,GW967137.1.1,253.264,19.825,GW967137.2.2,251.618,21.4,GW967138.1.1,283.135,18.9,GW967138.2.2,0.0,0.0,CF419051,54151,3.6,1.4400000000000006,1
2005-12-16 00:00:00,0.31,GW967137.1.1,253.265,19.843,GW967137.2.2,251.641,21.4,GW967138.1.1,283.169,18.9,GW967138.2.2,0.0,0.0,CF419051,54151,42.2,5.660000000000001,3
2005-12-17 00:00:00,0.475,GW967137.1.1,253.296,19.8,GW967137.2.2,251.68,21.4,GW967138.1.1,283.198,18.9,GW967138.2.2,0.0,0.0,CF419051,54151,14.0,7.0600000000000005,1
2005-12-29 00:00:00,0.315,GW967137.1.1,253.134,19.719,GW967137.2.2,251.611,21.387,GW967138.1.1,283.135,19.179,GW967138.2.2,0.0,0.0,CF419051,54151,1.2,0.12,1
2006-01-13 00:00:00,0.199,GW967137.1.1,253.027,19.6,GW967137.2.2,251.589,21.387,GW967138.1.1,283.001,19.429,GW967138.2.2,0.0,0.0,CF419051,54151,11.0,1.1,1
2006-01-14 00:00:00,0.2,GW967137.1.1,253.027,19.6,GW967137.2.2,251.574,21.388,GW967138.1.1,282.995,19.5,GW967138.2.2,0.0,0.0,CF419051,54151,0.2,1.1199999999999999,1
2006-01-15 00:00:00,0.201,GW967137.1.1,253.019,19.6,GW967137.2.2,251.582,21.4,GW967138.1.1,282.989,19.506,GW967138.2.2,0.0,0.0,CF419051,54151,0.2,1.14,1
2006-01-16 00:00:00,0.201,GW967137.1.1,253.013,19.6,GW967137.2.2,251.586,21.4,GW967138.1.1,282.973,19.574,GW967138.2.2,0.0,0.0,CF419051,54151,17.2,2.86,1
2006-01-17 00:00:00,0.201,GW967137.1.1,253.017,19.6,GW967137.2.2,251.589,21.4,GW967138.1.1,282.97,19.6,GW967138.2.2,0.0,0.0,CF419051,54151,0.2,2.88,1
2006-01-18 00:00:00,0.201,GW967137.1.1,253.014,19.6,GW967137.2.2,251.581,21.4,GW967138.1.1,282.96,19.6,GW967138.2.2,0.0,0.0,CF419051,54151,30.8,5.959999999999999,2
2006-01-19 00:00:00,0.2,GW967137.1.1,253.007,19.6,GW967137.2.2,251.572,21.4,GW967138.1.1,282.951,19.6,GW967138.2.2,0.0,0.0,CF419051,54151,4.6,6.419999999999999,1
2006-01-21 00:00:00,0.196,GW967137.1.1,253.002,19.6,GW967137.2.2,251.589,21.4,GW967138.1.1,282.936,19.7,GW967138.2.2,0.0,0.0,CF419051,54151,0.2,6.4399999999999995,1
2006-01-25 00:00:00,0.199,GW967137.1.1,252.997,19.6,GW967137.2.2,251.59,21.4,GW967138.1.1,282.894,19.754,GW967138.2.2,0.0,0.0,CF419051,54151,9.8,6.2799999999999985,1
2006-01-27 00:00:00,0.2,GW967137.1.1,252.995,19.556,GW967137.2.2,251.613,21.4,GW967138.1.1,282.882,19.806,GW967138.2.2,0.0,0.0,CF419051,54151,3.2,4.859999999999998,1
2006-02-06 00:00:00,0.195,GW967137.1.1,252.977,19.6,GW967137.2.2,251.588,21.4,GW967138.1.1,282.79,20.106,GW967138.2.2,0.0,0.0,CF419051,54151,3.6,0.35999999999999793,1
2006-02-10 00:00:00,0.2,GW967137.1.1,252.993,19.6,GW967137.2.2,251.595,21.4,GW967138.1.1,282.756,20.2,GW967138.2.2,0.0,0.0,CF419051,54151,8.6,1.2199999999999978,1
2006-02-13 00:00:00,0.198,GW967137.1.1,252.994,19.632,GW967137.2.2,251.597,21.4,GW967138.1.1,282.723,20.3,GW967138.2.2,0.0,0.0,CF419051,54151,15.4,2.759999999999998,1
2006-02-14 00:00:00,0.199,GW967137.1.1,252.99,19.675,GW967137.2.2,251.574,21.4,GW967138.1.1,282.718,20.379,GW967138.2.2,0.0,0.0,CF419051,54151,19.8,4.7399999999999975,1
2006-02-15 00:00:00,0.2,GW967137.1.1,252.991,19.676,GW967137.2.2,251.599,21.4,GW967138.1.1,282.704,20.4,GW967138.2.2,0.0,0.0,CF419051,54151,53.0,10.039999999999997,3
2006-02-16 00:00:00,0.469,GW967137.1.1,253.156,19.625,GW967137.2.2,251.669,21.4,GW967138.1.1,283.052,20.582,GW967138.2.2,0.0,0.0,CF419051,54151,61.8,15.86,4
2006-02-17 00:00:00,0.765,GW967137.1.1,253.255,19.699,GW967137.2.2,251.685,21.4,GW967138.1.1,283.437,22.438,GW967138.2.2,0.0,0.0,CF419051,54151,2.6,16.119999999999997,1
2006-02-21 00:00:00,0.224,GW967137.1.1,253.189,19.7,GW967137.2.2,251.681,21.4,GW967138.1.1,283.203,20.7,GW967138.2.2,0.0,0.0,CF419051,54151,1.4,15.4,1
2006-02-22 00:00:00,0.223,GW967137.1.1,253.211,19.7,GW967137.2.2,251.675,21.4,GW967138.1.1,283.186,20.7,GW967138.2.2,0.0,0.0,CF419051,54151,0.2,15.419999999999998,1
2006-02-27 00:00:00,0.218,GW967137.1.1,253.207,19.8,GW967137.2.2,251.664,21.4,GW967138.1.1,283.081,20.8,GW967138.2.2,0.0,0.0,CF419051,54151,1.6,0.31999999999999884,1
2006-02-28 00:00:00,0.204,GW967137.1.1,253.207,19.807,GW967137.2.2,251.662,21.4,GW967138.1.1,283.069,20.8,GW967138.2.2,0.0,0.0,CF419051,54151,2.2,0.5399999999999988,1
2006-03-01 00:00:00,0.2,GW967137.1.1,253.199,19.823,GW967137.2.2,251.673,21.4,GW967138.1.1,283.022,20.884,GW967138.2.2,0.0,0.0,CF419051,54151,11.0,1.6399999999999988,1
2006-03-02 00:00:00,0.2,GW967137.1.1,253.197,19.829,GW967137.2.2,251.666,21.4,GW967138.1.1,282.997,20.915,GW967138.2.2,0.0,0.0,CF419051,54151,0.4,1.6799999999999986,1
2006-03-03 00:00:00,0.2,GW967137.1.1,253.197,19.854,GW967137.2.2,251.676,21.4,GW967138.1.1,282.978,20.932,GW967138.2.2,0.0,0.0,CF419051,54151,3.6,1.899999999999999,1
2006-03-05 00:00:00,0.2,GW967137.1.1,253.2,19.904,GW967137.2.2,251.671,21.4,GW967138.1.1,282.962,20.964,GW967138.2.2,0.0,0.0,CF419051,54151,0.2,1.899999999999999,1
2006-03-06 00:00:00,0.2,GW967137.1.1,253.207,19.929,GW967137.2.2,251.676,21.4,GW967138.1.1,282.956,20.981,GW967138.2.2,0.0,0.0,CF419051,54151,0.2,1.9199999999999988,1
2006-03-07 00:00:00,0.2,GW967137.1.1,253.206,19.954,GW967137.2.2,251.676,21.4,GW967138.1.1,282.938,20.997,GW967138.2.2,0.0,0.0,CF419051,54151,0.2,1.9399999999999988,1
2006-03-14 00:00:00,0.207,GW967137.1.1,253.199,20.2,GW967137.2.2,251.647,21.4,GW967138.1.1,282.858,21.122,GW967138.2.2,0.0,0.0,CF419051,54151,1.0,0.15999999999999867,1
2006-03-19 00:00:00,0.207,GW967137.1.1,253.197,20.273,GW967137.2.2,251.633,21.4,GW967138.1.1,282.815,21.285,GW967138.2.2,0.0,0.0,CF419051,54151,3.6,0.45999999999999874,1
