read_date,bl_meter1,bl_ahd1,bl_meter2,bl_ahd2,meter_no3,sl_read1,meter_no4,rf_read1
2007-09-06,GW967138.1.1,280.62,GW967138.2.2,278.977,CF419051,0.159,54151,0.0
2007-09-07,GW967138.1.1,280.617,GW967138.2.2,278.98,CF419051,0.155,54151,0.0
2007-09-08,GW967138.1.1,280.617,GW967138.2.2,278.984,CF419051,0.153,54151,0.0
2007-09-09,GW967138.1.1,280.611,GW967138.2.2,278.979,CF419051,0.154,54151,0.0
2007-09-10,GW967138.1.1,280.608,GW967138.2.2,278.981,CF419051,0.149,54151,0.0
2007-09-11,GW967138.1.1,280.605,GW967138.2.2,278.981,CF419051,0.144,54151,0.0
2007-09-12,GW967138.1.1,280.6,GW967138.2.2,278.97,CF419051,0.14,54151,0.0
2007-09-13,GW967138.1.1,280.6,GW967138.2.2,278.964,CF419051,0.14,54151,0.0
2007-09-14,GW967138.1.1,280.595,GW967138.2.2,278.966,CF419051,0.14,54151,0.0
2007-09-15,GW967138.1.1,280.59,GW967138.2.2,278.957,CF419051,0.14,54151,2.0
2007-09-16,GW967138.1.1,280.587,GW967138.2.2,278.954,CF419051,0.14,54151,0.0
2007-09-17,GW967138.1.1,280.583,GW967138.2.2,278.953,CF419051,0.14,54151,0.0
2007-09-18,GW967138.1.1,280.579,GW967138.2.2,278.938,CF419051,0.14,54151,0.0
2007-09-19,GW967138.1.1,280.575,GW967138.2.2,278.941,CF419051,0.14,54151,0.0
2007-09-20,GW967138.1.1,280.57,GW967138.2.2,278.94,CF419051,0.14,54151,0.0
2007-09-21,GW967138.1.1,280.565,GW967138.2.2,278.929,CF419051,0.14,54151,0.0
2007-09-22,GW967138.1.1,280.562,GW967138.2.2,278.927,CF419051,0.14,54151,0.0
2007-09-23,GW967138.1.1,280.557,GW967138.2.2,278.917,CF419051,0.14,54151,0.0
2007-09-24,GW967138.1.1,280.555,GW967138.2.2,278.918,CF419051,0.14,54151,0.0
2007-09-25,GW967138.1.1,280.551,GW967138.2.2,278.92,CF419051,0.14,54151,0.0
