read_date,bl_meter1,bl_ahd1,bl_meter2,bl_ahd2,meter_no3,sl_read1,meter_no4,rf_read1
2005-11-17,GW967137.1.1,253.231,GW967137.2.2,251.581,419051,0.271,054151-2,0.0
2005-11-18,GW967137.1.1,253.236,GW967137.2.2,251.599,419051,0.271,054151-2,0.0
2005-11-19,GW967137.1.1,253.24,GW967137.2.2,251.608,419051,0.269,054151-2,0.0
2005-11-20,GW967137.1.1,253.246,GW967137.2.2,251.6,419051,0.268,054151-2,0.0
2005-11-21,GW967137.1.1,253.247,GW967137.2.2,251.595,419051,0.27,054151-2,0.0
2005-11-22,GW967137.1.1,253.251,GW967137.2.2,251.591,419051,0.28,054151-2,28.8
2005-11-23,GW967137.1.1,253.249,GW967137.2.2,251.59,419051,0.274,054151-2,4.8
2005-11-24,GW967137.1.1,253.248,GW967137.2.2,251.593,419051,0.272,054151-2,22.4
2005-11-25,GW967137.1.1,253.252,GW967137.2.2,251.615,419051,0.275,054151-2,24.8
2005-11-26,GW967137.1.1,253.256,GW967137.2.2,251.622,419051,0.287,054151-2,9.4
2005-11-27,GW967137.1.1,253.275,GW967137.2.2,251.651,419051,0.295,054151-2,9.4
2005-11-28,GW967137.1.1,253.275,GW967137.2.2,251.631,419051,0.323,054151-2,3.6
2005-11-29,GW967137.1.1,253.271,GW967137.2.2,251.63,419051,0.3,054151-2,0.2
2005-11-30,GW967137.1.1,253.269,GW967137.2.2,251.625,419051,0.289,054151-2,0.0
2005-12-01,GW967137.1.1,253.266,GW967137.2.2,251.627,419051,0.29,054151-2,3.4
2005-12-02,GW967137.1.1,253.271,GW967137.2.2,251.641,419051,0.295,054151-2,19.8
2005-12-03,GW967137.1.1,253.277,GW967137.2.2,251.644,419051,0.303,054151-2,21.4
2005-12-04,GW967137.1.1,253.278,GW967137.2.2,251.639,419051,0.307,054151-2,0.0
2005-12-05,GW967137.1.1,253.275,GW967137.2.2,251.636,419051,0.303,054151-2,0.0
2005-12-06,GW967137.1.1,253.273,GW967137.2.2,251.638,419051,0.304,054151-2,0.0
2005-12-07,GW967137.1.1,253.277,GW967137.2.2,251.625,419051,0.31,054151-2,0.0
2005-12-08,GW967137.1.1,253.272,GW967137.2.2,251.616,419051,0.304,054151-2,7.2
2005-12-09,GW967137.1.1,253.264,GW967137.2.2,251.612,419051,0.309,054151-2,3.6
2005-12-10,GW967137.1.1,253.26,GW967137.2.2,251.606,419051,0.307,054151-2,0.0
2005-12-11,GW967137.1.1,253.261,GW967137.2.2,251.602,419051,0.307,054151-2,0.0
2005-12-12,GW967137.1.1,253.256,GW967137.2.2,251.615,419051,0.313,054151-2,0.0
2005-12-13,GW967137.1.1,253.264,GW967137.2.2,251.618,419051,0.314,054151-2,3.6
2005-12-14,GW967137.1.1,253.249,GW967137.2.2,251.607,419051,0.311,054151-2,0.0
2005-12-15,GW967137.1.1,253.249,GW967137.2.2,251.6,419051,0.309,054151-2,0.0
2005-12-16,GW967137.1.1,253.265,GW967137.2.2,251.641,419051,0.31,054151-2,42.2
2005-12-17,GW967137.1.1,253.296,GW967137.2.2,251.68,419051,0.475,054151-2,14.0
2005-12-18,GW967137.1.1,253.263,GW967137.2.2,251.651,419051,0.355,054151-2,0.0
2005-12-19,GW967137.1.1,253.233,GW967137.2.2,251.643,419051,0.326,054151-2,0.0
2005-12-20,GW967137.1.1,253.209,GW967137.2.2,251.631,419051,0.315,054151-2,0.0
2005-12-21,GW967137.1.1,253.194,GW967137.2.2,251.63,419051,0.307,054151-2,0.0
2005-12-22,GW967137.1.1,253.18,GW967137.2.2,251.634,419051,0.302,054151-2,0.0
2005-12-23,GW967137.1.1,253.172,GW967137.2.2,251.632,419051,0.308,054151-2,0.0
2005-12-24,GW967137.1.1,253.168,GW967137.2.2,251.636,419051,0.311,054151-2,0.0
2005-12-25,GW967137.1.1,253.156,GW967137.2.2,251.627,419051,0.313,054151-2,0.0
2005-12-26,GW967137.1.1,253.143,GW967137.2.2,251.623,419051,0.314,054151-2,0.0
2005-12-27,GW967137.1.1,253.14,GW967137.2.2,251.617,419051,0.313,054151-2,0.0
2005-12-28,GW967137.1.1,253.139,GW967137.2.2,251.621,419051,0.314,054151-2,0.0
