read_date,bl_meter1,bl_ahd1,bl_meter2,bl_ahd2,meter_no3,sl_read1,meter_no4,rf_read1
2007-09-06,GW967138.1.1,280.62,GW967138.2.2,278.977,419051,0.159,054151-2,0.0
2007-09-07,GW967138.1.1,280.617,GW967138.2.2,278.98,419051,0.155,054151-2,0.0
2007-09-08,GW967138.1.1,280.617,GW967138.2.2,278.984,419051,0.153,054151-2,0.0
2007-09-09,GW967138.1.1,280.611,GW967138.2.2,278.979,419051,0.154,054151-2,0.0
2007-09-10,GW967138.1.1,280.608,GW967138.2.2,278.981,419051,0.149,054151-2,0.0
2007-09-11,GW967138.1.1,280.605,GW967138.2.2,278.981,419051,0.144,054151-2,0.0
2007-09-12,GW967138.1.1,280.6,GW967138.2.2,278.97,419051,0.14,054151-2,0.0
2007-09-13,GW967138.1.1,280.6,GW967138.2.2,278.964,419051,0.14,054151-2,0.0
2007-09-14,GW967138.1.1,280.595,GW967138.2.2,278.966,419051,0.14,054151-2,0.0
2007-09-15,GW967138.1.1,280.59,GW967138.2.2,278.957,419051,0.14,054151-2,2.0
2007-09-16,GW967138.1.1,280.587,GW967138.2.2,278.954,419051,0.14,054151-2,0.0
2007-09-17,GW967138.1.1,280.583,GW967138.2.2,278.953,419051,0.14,054151-2,0.0
2007-09-18,GW967138.1.1,280.579,GW967138.2.2,278.938,419051,0.14,054151-2,0.0
2007-09-19,GW967138.1.1,280.575,GW967138.2.2,278.941,419051,0.14,054151-2,0.0
2007-09-20,GW967138.1.1,280.57,GW967138.2.2,278.94,419051,0.14,054151-2,0.0
2007-09-21,GW967138.1.1,280.565,GW967138.2.2,278.929,419051,0.14,054151-2,0.0
2007-09-22,GW967138.1.1,280.562,GW967138.2.2,278.927,419051,0.14,054151-2,0.0
2007-09-23,GW967138.1.1,280.557,GW967138.2.2,278.917,419051,0.14,054151-2,0.0
2007-09-24,GW967138.1.1,280.555,GW967138.2.2,278.918,419051,0.14,054151-2,0.0
2007-09-25,GW967138.1.1,280.551,GW967138.2.2,278.92,419051,0.14,054151-2,0.0
2007-09-26,GW967138.1.1,280.549,GW967138.2.2,278.923,419051,0.14,054151-2,0.0
2007-09-27,GW967138.1.1,280.543,GW967138.2.2,278.917,419051,0.14,054151-2,0.0
2007-09-28,GW967138.1.1,280.537,GW967138.2.2,278.911,419051,0.14,054151-2,0.0
2007-09-29,GW967138.1.1,280.533,GW967138.2.2,278.9,419051,0.14,054151-2,0.0
2007-09-30,GW967138.1.1,280.53,GW967138.2.2,278.892,419051,0.14,054151-2,0.0
2007-10-01,GW967138.1.1,280.524,GW967138.2.2,278.887,419051,0.14,054151-2,0.0
2007-10-02,GW967138.1.1,280.518,GW967138.2.2,278.888,419051,0.14,054151-2,0.0
2007-10-03,GW967138.1.1,280.511,GW967138.2.2,278.892,419051,0.14,054151-2,0.0
2007-10-04,GW967138.1.1,280.506,GW967138.2.2,278.882,419051,0.14,054151-2,0.0
2007-10-05,GW967138.1.1,280.503,GW967138.2.2,278.881,419051,0.14,054151-2,0.0
2007-10-06,GW967138.1.1,280.496,GW967138.2.2,278.887,419051,0.14,054151-2,0.0
2007-10-07,GW967138.1.1,280.494,GW967138.2.2,278.884,419051,0.14,054151-2,0.0
2007-10-08,GW967138.1.1,280.487,GW967138.2.2,278.884,419051,0.14,054151-2,6.4
2007-10-09,GW967138.1.1,280.491,GW967138.2.2,278.881,419051,0.14,054151-2,4.4
2007-10-10,GW967138.1.1,280.492,GW967138.2.2,278.891,419051,0.14,054151-2,0.0
2007-10-11,GW967138.1.1,280.486,GW967138.2.2,278.904,419051,0.14,054151-2,0.0
2007-10-12,GW967138.1.1,280.48,GW967138.2.2,278.906,419051,0.14,054151-2,3.0
2007-10-13,GW967138.1.1,280.475,GW967138.2.2,278.881,419051,0.14,054151-2,0.0
2007-10-14,GW967138.1.1,280.472,GW967138.2.2,278.873,419051,0.14,054151-2,0.0
2007-10-15,GW967138.1.1,280.465,GW967138.2.2,278.869,419051,0.14,054151-2,0.0
2007-10-16,GW967138.1.1,280.46,GW967138.2.2,278.873,419051,0.14,054151-2,0.0
2007-10-17,GW967138.1.1,280.457,GW967138.2.2,278.865,419051,0.14,054151-2,0.0
2007-10-18,GW967138.1.1,280.452,GW967138.2.2,278.851,419051,0.14,054151-2,0.0
2007-10-19,GW967138.1.1,280.449,GW967138.2.2,278.849,419051,0.14,054151-2,0.0
2007-10-20,GW967138.1.1,280.442,GW967138.2.2,278.847,419051,0.14,054151-2,0.0
2007-10-21,GW967138.1.1,280.438,GW967138.2.2,278.85,419051,0.14,054151-2,0.0
2007-10-22,GW967138.1.1,280.432,GW967138.2.2,278.857,419051,0.14,054151-2,0.0
2007-10-23,GW967138.1.1,280.432,GW967138.2.2,278.862,419051,0.14,054151-2,0.0
2007-10-24,GW967138.1.1,280.426,GW967138.2.2,278.857,419051,0.14,054151-2,0.0
2007-10-25,GW967138.1.1,280.421,GW967138.2.2,278.862,419051,0.14,054151-2,6.0
2007-10-26,GW967138.1.1,280.423,GW967138.2.2,278.873,419051,0.14,054151-2,29.0
2007-10-27,GW967138.1.1,280.42,GW967138.2.2,278.873,419051,0.14,054151-2,2.0
